ID,Title,Rating,Episodes
cccac6ca-4700-4831-8748-4a8f906f4787,Bojack Horseman,8,0,
f1afe4ee-4063-4a5f-9d73-0891e0141df1,House of the Dragon,8,0,
a9932882-d194-45af-9616-1a8cb37fd46f,The Last of Us,9,0,
786c4d21-7ab6-4326-a6b9-2d9c282bb94b,Bojack Horseman,8,0,
673860e3-a7a7-4576-9657-3f42e9c0a11c,The Office,9,0,
af6325cc-8130-45bb-9b50-014b13ceecaa,Peaky Blinders,8,0,
81d16fd0-a21a-45b1-a8b1-c75351809ef7,The Crown,8,0,
1bba06a8-83ef-477a-a3d3-3ab8402ae7d4,The Sopranos,9,0,
5f92a1c6-fa05-4b63-a653-ad6ab5efcaa8,Breaking Bad,9,0,
5acdd841-739c-4144-9b4a-d717a53d6afd,The Walking Dead,8,0,
80a48e44-cd7d-4d40-be39-80f0d0b71013,The Sopranos,9,0,
181d49b1-2392-4e8c-9ee4-52512ddbe661,The Boys,8,0,
f9bc76a0-e354-409c-a8d7-8e8dca14e9de,Friends,8,0,
724c7ea3-7a45-4636-bd12-9f69bafdb922,The Simpsons,8,0,
6be1f620-365e-4c45-a60f-cb6a79e62695,The Witcher,8,0,
273da67c-b02d-4564-8189-36c04fcdaccd,The Big Bang Theory,8,0,
80a2a288-4310-41d5-8a9a-498deec92341,House of the Dragon,8,0,
d098433d-8af2-43fe-a108-3b04cd1a0478,Vikings,8,0,
4f8d5521-4d21-40d8-acca-22a1c4687cd7,The Boys,8,0,
30124017-b7f0-43a1-a9fc-a6b15dc3f3ae,The Sopranos,9,0,
406ccca3-0f0e-4ffb-82b1-9e89e700ef99,The Boys,8,0,
858916c3-bc1a-43c0-9423-12edb58d8a21,The Sopranos,9,0,
ea832dbf-f0e3-4193-9893-8bada3a5df66,The Simpsons,8,0,
7d123b52-85a2-42b1-8ab9-5ad9baa7284f,Bojack Horseman,8,0,
905028f2-4bc2-4fdb-af09-4528e0154ad3,The Big Bang Theory,8,0,
ef74a629-7c83-4a2d-959c-f6b8b5318570,The Office,9,0,
0ff9ab7e-7f19-4755-9a0e-691907935054,Peaky Blinders,8,0,
1dab0cb7-1e45-46e9-b84d-e4158313a8ec,The Crown,8,0,
52793553-39fc-43d7-803c-bdbf740f8674,The Last of Us,9,0,
0df4d4de-04b1-41c2-8273-6487728f08c4,The Witcher,8,0,
616f9bb3-67d6-4373-9684-da933c47be34,Vikings,8,0,
d023d801-8b0e-4d94-b055-84bfd0126e9c,Friends,8,0,
31d3c180-ccd7-4cb5-9f37-df40095a3026,The Last of Us,9,0,
ae53de62-2be0-43b5-b70f-70310eec79e7,Friends,8,0,
671879ca-aac1-4189-9a32-09a5be69c485,The Sopranos,9,0,
b70854a5-00f4-400e-bec7-b5a8188e14f8,The Last of Us,9,0,
337bff73-c0fb-463a-88e0-c30e12c8ddb4,Friends,8,0,
c8adf1e3-64db-4141-925e-1604736efe9a,The Witcher,8,0,
95894b21-a274-49ac-aad3-a1ff44c2749a,The Office,9,0,
8c156a0d-602f-439d-8a58-c887afc118ab,The Boys,8,0,
e320348c-5488-4a38-8415-edb3137a99a0,The Last of Us,9,0,
2a990644-f691-430e-ae10-ed9eef037e1c,The Sopranos,9,0,
bacbd5ac-de23-4f07-ae4f-a1238012095d,Westworld,8,0,
71af066b-3a32-470f-a872-f57c4ee2c9fb,Friends,8,0,
929bccba-2140-45d5-854b-5661dd25605c,The Walking Dead,8,0,
0701c27b-3243-476d-b9e7-fb6f396b06ee,The Walking Dead,8,0,
195bdb9e-91d9-4823-9df1-0419dd966fc4,Peaky Blinders,8,0,
ad8f4357-d345-487b-8691-209609b5c911,How I Met Your Mother,8,0,
b730e811-2c46-41ab-ae70-26fea7891a72,Game of Thrones,9,0,
b1e47783-4cbe-428d-8208-1b809c5d7ad2,The Boys,8,0,
704f4a34-4576-4c2f-a91b-a06d25625ab7,The Simpsons,8,0,
372271b0-0947-4f0e-967f-97a0b3cce164,The Crown,8,0,
b6c74566-177c-48b4-9bcc-f31c42c370c1,The Last of Us,9,0,
684f7aa2-c831-4a8c-9b84-3a3f762f691b,The Simpsons,8,0,
7b8430a6-bf08-4673-a2ce-3104e105f3c2,The Witcher,8,0,
16339a25-eb1b-452d-a56e-a1634f21331a,Vikings,8,0,
d3a5720a-ea0b-4475-ba7c-7c4fa134c261,The Big Bang Theory,8,0,
0e672fd2-050d-4523-b032-ca7f84c02c27,Vikings,8,0,
3c6af20b-959c-4f87-8ecb-d980f3cc3e2d,The Crown,8,0,
5f28298b-7e78-4ceb-ab41-aa88cf96baa9,The Big Bang Theory,8,0,
149f4501-235d-496e-a985-1ea123fe5b8d,The Crown,8,0,
cb432d85-63c1-4839-95d1-34baf1a9102c,The Boys,8,0,
04edc5cd-99fa-4625-b12a-26e7a96dd73c,Vikings,8,0,
3fa25be5-bea1-41ec-9a68-ac694bf283b7,The Witcher,8,0,
efe6e296-1f22-44d6-a082-d7e3838c46d6,Bojack Horseman,8,0,
4c1b3f22-5b4f-4373-9921-4f3ef04ba961,Breaking Bad,9,0,
7e7723fb-277d-4db9-9e32-36b9dd7fd5f6,Westworld,8,0,
ec45088d-99f2-4fa0-8c45-c452f298277d,The Walking Dead,8,0,
f8cde96d-4d21-4151-b9dc-504f0aa0d1cc,The Mandalorian,8,0,
be740b02-530c-4095-b57d-9baddd055e14,The Last of Us,9,0,
e53a6500-d455-4392-be90-549dd2981a21,The Mandalorian,8,0,
71662a70-0b41-49bb-94f1-e0759e6e28df,The Walking Dead,8,0,
228ee1ee-b861-4e2b-912d-7609aaf4661f,The Office,9,0,
39d2b777-e62b-4d2c-bdce-219cff3b0840,The Witcher,8,0,
c0b53011-9a47-4061-a652-2394355f2b06,Game of Thrones,9,0,
02cbc082-b400-421c-9e9d-2cc3ffb12986,Breaking Bad,9,0,
fc169249-244d-4e15-a980-a7d2db8f8c6f,The Walking Dead,8,0,
52cc3ce1-9339-4e11-b9cf-e145e08e638c,The Office,9,0,
136a2652-3bf4-45fc-893f-e1c8fa1ac54d,The Mandalorian,8,0,
037c5f8a-4108-43bf-82d4-ab4aa7021e53,The Sopranos,9,0,
b105cece-a7e6-44bf-b86c-f41f2011e649,The Walking Dead,8,0,
250fe7f9-f9c3-4c9c-b3fb-81a2fbaa3ca9,The Simpsons,8,0,
