ID,Title,Duration,Rating
3795b38d-445b-4a8b-8543-2ff43491832e,Pulp Fiction,154,8,0
94d29805-7a2b-4bd2-a5ea-96ab2f02a98f,The Silence of the Lambs,118,8,0
9e159c7f-3bcb-431d-8555-eec5c562fa29,The Dark Knight,152,9,0
f59b1b53-2dcf-457d-91a6-e123c0d71017,Fight Club,139,8,0
712c84fb-7039-4515-9a3c-e9b0b108ed82,Star Wars: Episode IV,121,8,0
ba4dd079-e35b-4392-93a2-3d3dfa5fa5c1,The Silence of the Lambs,118,8,0
a1f26431-5322-44b4-bc11-f0563f2c10b8,The Green Mile,189,8,0
04594256-4805-4df8-8918-cce7f8a39786,The Social Network,120,7,0
9d6b44be-a340-4fa7-8478-68febd5a1e85,The Green Mile,189,8,0
668b68e4-dc68-4519-ad36-362d5002bc13,The Lion King,118,8,0
da203d7f-36eb-4d76-9bb9-9c6c55fbc4a5,The Social Network,120,7,0
61bc6df4-18e5-4e9e-85d8-a3890418fae4,Avengers: Infinity War,149,8,0
71c733e6-3a19-4bf0-9cc3-a1875f810305,Titanic,195,7,0
c409421b-17d8-4bd7-a8b5-483c002c1919,Pulp Fiction,154,8,0
390b72f6-e043-4d53-88d0-639f887d1b49,The Lion King,118,8,0
ea2cd641-ab24-4981-ba96-a824a0f5e9fd,Schindler's List,195,9,0
c8aa4806-1f10-4bc2-9dc3-577a498b738e,The Social Network,120,7,0
c2a1991e-45df-4b3f-b28e-e1c017b13f53,The Social Network,120,7,0
e15f922c-c75c-45b9-b56b-dba5a2bf19a3,Avengers: Endgame,181,8,0
b326a287-613f-4b85-9028-b2ea94cb9e6d,The Green Mile,189,8,0
711a7a62-c922-4ee0-84cc-32a3dc9d0e88,The Green Mile,189,8,0
09ce08ab-0f76-41d5-8d13-45153572b232,Titanic,195,7,0
a8190a17-a7dc-477d-97cc-6cda954b28fc,The Dark Knight,152,9,0
a992eb9f-6e8b-4d25-b143-770b36cecd6c,Star Wars: Episode IV,121,8,0
60e68863-86af-4dbd-9acf-40ed6e05c166,Forrest Gump,142,8,0
e12807aa-45fe-4121-a38f-5377850f2412,The Godfather,175,9,0
08f6cbe9-959a-42d1-9496-d8c93953f317,Schindler's List,195,9,0
5719d84c-89ed-4585-8d25-6800fb923bfd,The Shawshank Redemption,142,9,0
6c9a987e-d67c-4c7d-824d-c5b5e8b83cd1,Pulp Fiction,154,8,0
c3ea2ad5-4ba1-4a83-a3af-22cedaa64259,The Green Mile,189,8,0
69ec25c8-8196-414a-b8b9-c998993820ad,Avengers: Infinity War,149,8,0
